交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2017/5/8,TXO,201705,10800,賣權,-,-,-,-,0,880,13,-,-,-,-,,一般
2017/5/8,TXO,201705,11000,買權,-,-,-,-,0,0.2,1015,-,-,-,-,,一般
2017/5/8,TXO,201705,11000,賣權,-,-,-,-,0,1080,2,-,-,-,-,,一般
2017/5/8,TXO,201705,11200,買權,-,-,-,-,0,0.2,550,-,-,-,-,,一般
2017/5/8,TXO,201705,11200,賣權,-,-,-,-,0,1280,1,-,-,-,-,,一般
2017/5/8,TXO,201705,11400,買權,-,-,-,-,0,0.2,482,-,-,-,-,,一般
2017/5/8,TXO,201705,11400,賣權,-,-,-,-,0,1480,1,-,-,-,-,,一般
2017/5/8,TXO,201705,11600,買權,-,-,-,-,0,0.2,140,-,-,-,-,,一般
2017/5/8,TXO,201705,11600,賣權,-,-,-,-,0,1680,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7000,買權,-,-,-,-,0,2900,3,-,-,-,-,,一般
2017/5/8,TXO,201706,7000,賣權,0.3,0.3,0.3,0.3,100,0.3,7781,0.2,0.3,57,0.3,,一般
2017/5/8,TXO,201706,7100,買權,-,-,-,-,0,2800,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7100,賣權,-,-,-,-,0,0.3,637,-,-,-,-,,一般
2017/5/8,TXO,201706,7200,買權,-,-,-,-,0,2700,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7200,賣權,0.5,0.5,0.5,0.5,37,0.4,4741,0.3,0.5,96,0.5,,一般
2017/5/8,TXO,201706,7300,買權,-,-,-,-,0,2600,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7300,賣權,-,-,-,-,0,0.5,333,-,-,-,-,,一般
2017/5/8,TXO,201706,7400,買權,-,-,-,-,0,2500,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7400,賣權,-,-,-,-,0,0.6,2355,-,-,-,-,,一般
2017/5/8,TXO,201706,7500,買權,-,-,-,-,0,2400,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7500,賣權,-,-,-,-,0,0.7,308,-,-,-,-,,一般
2017/5/8,TXO,201706,7600,買權,-,-,-,-,0,2310,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7600,賣權,1,1,1,1,6,0.8,3368,0.7,0.9,140,1,,一般
2017/5/8,TXO,201706,7700,買權,-,-,-,-,0,2210,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7700,賣權,1.1,1.1,1,1,67,1,363,0.8,1,5.5,1,,一般
2017/5/8,TXO,201706,7800,買權,-,-,-,-,0,2110,10,-,-,-,-,,一般
2017/5/8,TXO,201706,7800,賣權,1.3,1.4,1.2,1.2,11,1.2,2850,1,1.2,173,1.2,,一般
2017/5/8,TXO,201706,7900,買權,-,-,-,-,0,2010,0,-,-,-,-,,一般
2017/5/8,TXO,201706,7900,賣權,1.7,1.7,1.5,1.5,66,1.3,409,1.2,1.4,7.2,1.5,,一般
2017/5/8,TXO,201706,8000,買權,1920,1920,1920,1920,1,1910,45,1750,1950,1920,955,,一般
2017/5/8,TXO,201706,8000,賣權,2,2,1.7,1.7,81,1.7,5608,1.4,1.7,212,1.7,,一般
2017/5/8,TXO,201706,8100,買權,1820,1820,1820,1820,1,1810,1,1650,1850,1820,1820,,一般
2017/5/8,TXO,201706,8100,賣權,2,2.1,2,2,42,1.7,2134,1.6,1.8,9.3,2,,一般
2017/5/8,TXO,201706,8200,買權,1720,1720,1720,1720,1,1710,35,1560,1750,1720,930,,一般
2017/5/8,TXO,201706,8200,賣權,2.5,2.5,2.1,2.1,99,2.1,3904,1.9,2.1,262,2.1,,一般
2017/5/8,TXO,201706,8300,買權,1620,1620,1620,1620,1,1610,6,1150,1650,1620,1350,,一般
2017/5/8,TXO,201706,8300,賣權,2.6,2.9,2.3,2.3,117,2.3,638,2.2,2.4,13,2.3,,一般
2017/5/8,TXO,201706,8400,買權,1520,1520,1520,1520,1,1510,44,1450,1550,1670,610,,一般
2017/5/8,TXO,201706,8400,賣權,2.9,3.2,2.6,2.6,170,2.6,4097,2.5,2.7,285,2.6,,一般
2017/5/8,TXO,201706,8500,買權,1420,1420,1420,1420,1,1410,1,1080,1450,1420,1420,,一般
2017/5/8,TXO,201706,8500,賣權,3.3,3.6,2.9,2.9,160,2.9,1728,2.8,3,17,2.9,,一般
2017/5/8,TXO,201706,8600,買權,1320,1320,1320,1320,1,1310,69,535,1350,1350,400,,一般
2017/5/8,TXO,201706,8600,賣權,3.7,4.2,3.4,3.4,356,3.4,5638,3,3.4,370,3.4,,一般
2017/5/8,TXO,201706,8700,買權,1220,1220,1220,1220,1,1210,2,770,1250,1250,1220,,一般
2017/5/8,TXO,201706,8700,賣權,4.2,4.7,3.8,3.8,384,3.8,2542,3.7,3.8,27,3.8,,一般
2017/5/8,TXO,201706,8800,買權,1120,1120,1120,1120,1,1110,188,1100,1150,1130,385,,一般
2017/5/8,TXO,201706,8800,賣權,5,5.7,4.5,4.5,280,4.5,9503,4.5,4.8,475,4.5,,一般
2017/5/8,TXO,201706,8900,買權,1020,1020,1020,1020,1,1010,4,253,1050,1020,640,,一般
2017/5/8,TXO,201706,8900,賣權,5.8,6.5,5.2,5.2,516,5.2,3471,5.2,5.4,37,5.2,,一般
2017/5/8,TXO,201706,9000,買權,945,945,935,935,2,910,286,875,945,960,280,,一般
2017/5/8,TXO,201706,9000,賣權,7.2,7.8,6.3,6.3,791,6.3,9150,6.3,6.6,580,6.2,,一般
2017/5/8,TXO,201706,9100,買權,845,845,825,825,2,815,61,261,1280,845,590,,一般
2017/5/8,TXO,201706,9100,賣權,8.3,9.5,7.6,7.6,1208,7.6,4302,7.5,8,62,7.5,,一般
2017/5/8,TXO,201706,9200,買權,750,750,700,700,6,715,753,705,1180,750,200,,一般
2017/5/8,TXO,201706,9200,賣權,8,11.5,8,8,729,9.4,9598,9.3,9.8,660,8,,一般
2017/5/8,TXO,201706,9300,買權,650,650,595,595,5,620,50,420,1080,650,380,,一般
2017/5/8,TXO,201706,9300,賣權,15,16,12.5,12.5,1469,13,8327,12.5,13,100,12,,一般
2017/5/8,TXO,201706,9400,買權,530,555,505,505,51,525,1179,510,595,765,138,,一般
2017/5/8,TXO,201706,9400,賣權,19.5,22.5,17.5,17.5,2257,17.5,10882,17.5,18,720,16.5,,一般
2017/5/8,TXO,201706,9500,買權,455,463,417,417,117,433,666,428,438,471,236,,一般
2017/5/8,TXO,201706,9500,賣權,29,32.5,26,26,2663,26,9208,26,26.5,163,24.5,,一般
2017/5/8,TXO,201706,9600,買權,358,377,329,329,93,344,3169,340,350,436,92,,一般
2017/5/8,TXO,201706,9600,賣權,44,47,37,37,2671,39,10513,38.5,39,910,36,,一般
2017/5/8,TXO,201706,9700,買權,283,295,251,251,242,266,1222,263,270,364,126,,一般
2017/5/8,TXO,201706,9700,賣權,65,70,55,55,2291,59,8099,58,59,252,53,,一般
2017/5/8,TXO,201706,9800,買權,208,222,181,181,487,194,5692,193,195,302,60,,一般
2017/5/8,TXO,201706,9800,賣權,93,101,79,79,2268,88,9048,87,89,1040,79,,一般
2017/5/8,TXO,201706,9900,買權,143,157,124,124,1183,134,4456,134,135,242,52,,一般
2017/5/8,TXO,201706,9900,賣權,132,143,115,115,1186,125,6538,125,128,376,114,,一般
2017/5/8,TXO,201706,10000,買權,92,106,80,80,2513,88,19738,88,89,207,32,,一般
2017/5/8,TXO,201706,10000,賣權,184,199,163,163,886,181,1551,180,181,1030,161,,一般
2017/5/8,TXO,201706,10200,買權,33.5,39,28,28,5069,31,29183,30.5,32,110,11,,一般
2017/5/8,TXO,201706,10200,賣權,314,346,296,296,113,323,251,320,330,615,296,,一般
2017/5/8,TXO,201706,10400,買權,10.5,12.5,8.7,8.7,2037,10.5,19241,10.5,11,84,5,,一般
2017/5/8,TXO,201706,10400,賣權,483,515,482,482,3,505,120,465,950,1350,415,,一般
2017/5/8,TXO,201706,10600,買權,3.3,4,2.9,2.9,1055,3.7,8586,3.3,3.8,29,2.4,,一般
2017/5/8,TXO,201706,10600,賣權,665,680,665,665,2,695,23,690,700,995,665,,一般
2017/5/8,TXO,201706,10800,買權,1.5,1.7,1.1,1.1,369,1.4,5893,1.4,1.5,30,1.1,,一般
2017/5/8,TXO,201706,10800,賣權,860,875,860,860,2,895,16,825,1150,1190,550,,一般
2017/5/8,TXO,201706,11000,買權,0.9,0.9,0.6,0.6,92,0.6,902,0.6,0.8,7.4,0.4,,一般
2017/5/8,TXO,201706,11000,賣權,1060,1090,1060,1060,3,1090,6,860,1480,1260,1060,,一般
2017/5/8,TXO,201706,11200,買權,0.5,0.5,0.3,0.3,63,0.5,8063,0.4,0.5,11.5,0.3,,一般
2017/5/8,TXO,201706,11200,賣權,1260,1280,1260,1260,2,1290,3,880,1780,1970,1260,,一般
2017/5/8,TXO,201706,11400,買權,-,-,-,-,0,0.3,229,-,-,-,-,,一般
2017/5/8,TXO,201706,11400,賣權,-,-,-,-,0,1490,0,-,-,-,-,,一般
2017/5/8,TXO,201706,11600,買權,-,-,-,-,0,0.1,1737,-,-,-,-,,一般
2017/5/8,TXO,201706,11600,賣權,-,-,-,-,0,1690,0,-,-,-,-,,一般
2017/5/8,TXO,201706,11800,買權,0.1,0.1,0.1,0.1,1,0.1,245,0.1,2,1,0.1,,一般
2017/5/8,TXO,201706,11800,賣權,-,-,-,-,0,1890,0,-,-,-,-,,一般
2017/5/8,TXO,201706,12000,買權,0.2,0.2,0.2,0.2,2,0.1,418,-,2,2,0.2,,一般
2017/5/8,TXO,201706,12000,賣權,-,-,-,-,0,2090,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8100,買權,-,-,-,-,0,1630,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8100,賣權,3.7,3.9,3.7,3.7,54,3.7,966,2.6,3.7,14.5,3.7,,一般
2017/5/8,TXO,201707,8200,買權,-,-,-,-,0,1530,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8200,賣權,4.5,4.7,4,4,267,4,584,3.1,4.9,17.5,4,,一般
2017/5/8,TXO,201707,8300,買權,-,-,-,-,0,1430,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8300,賣權,5.4,5.4,4.8,4.8,4,4.8,340,3.8,52,22,4.8,,一般
2017/5/8,TXO,201707,8400,買權,-,-,-,-,0,1330,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8400,賣權,5.8,5.8,5.8,5.8,2,5.8,130,5.7,10.5,25,5.8,,一般
2017/5/8,TXO,201707,8500,買權,-,-,-,-,0,1240,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8500,賣權,7.6,7.6,7,7,36,7,200,5.8,13,33.5,7,,一般
2017/5/8,TXO,201707,8600,買權,-,-,-,-,0,1140,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8600,賣權,8.5,9.1,8.1,8.1,111,8.6,293,8.5,15,42,8,,一般
2017/5/8,TXO,201707,8700,買權,-,-,-,-,0,1040,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8700,賣權,11,11,9.7,9.7,7,9.9,544,9.9,10,51,9.7,,一般
2017/5/8,TXO,201707,8800,買權,-,-,-,-,0,945,0,-,-,-,-,,一般
2017/5/8,TXO,201707,8800,賣權,13,13.5,11.5,11.5,94,12,1780,11.5,12.5,64,11.5,,一般
2017/5/8,TXO,201707,8900,買權,-,-,-,-,0,845,2,-,-,-,-,,一般
2017/5/8,TXO,201707,8900,賣權,17,17,15,15,284,15,1234,15,15.5,87,13.5,,一般
2017/5/8,TXO,201707,9000,買權,-,-,-,-,0,750,1,-,-,-,-,,一般
2017/5/8,TXO,201707,9000,賣權,19.5,21.5,18.5,18.5,263,19,3084,19,19.5,100,17,,一般
2017/5/8,TXO,201707,9100,買權,-,-,-,-,0,655,1,-,-,-,-,,一般
2017/5/8,TXO,201707,9100,賣權,25.5,28.5,24,24,158,24.5,1422,24,26,120,22,,一般
2017/5/8,TXO,201707,9200,買權,-,-,-,-,0,565,6,-,-,-,-,,一般
2017/5/8,TXO,201707,9200,賣權,33,37.5,31.5,31.5,292,35,1258,34,38,155,30,,一般
2017/5/8,TXO,201707,9300,買權,-,-,-,-,0,476,13,-,-,-,-,,一般
2017/5/8,TXO,201707,9300,賣權,50,51,43,43,285,46.5,1607,46.5,47,189,40.5,,一般
2017/5/8,TXO,201707,9400,買權,-,-,-,-,0,392,50,-,-,-,-,,一般
2017/5/8,TXO,201707,9400,賣權,64,70,61,61,266,62,759,55,67,210,54,,一般
2017/5/8,TXO,201707,9500,買權,328,328,298,298,157,316,209,149,650,358,169,,一般
2017/5/8,TXO,201707,9500,賣權,83,98,83,83,181,86,1499,85,87,264,75,,一般
2017/5/8,TXO,201707,9600,買權,-,-,-,-,0,245,177,-,-,-,-,,一般
2017/5/8,TXO,201707,9600,賣權,115,126,107,107,191,115,3394,115,138,330,98,,一般
2017/5/8,TXO,201707,9700,買權,195,205,179,179,11,189,238,175,188,220,92,,一般
2017/5/8,TXO,201707,9700,賣權,154,170,143,143,76,154,961,150,180,327,134,,一般
2017/5/8,TXO,201707,9800,買權,143,145,125,125,155,138,433,110,182,164,61,,一般
2017/5/8,TXO,201707,9800,賣權,194,221,194,194,13,208,342,199,585,383,180,,一般
2017/5/8,TXO,201707,9900,買權,100,108,89,89,74,98,733,90,111,118,40,,一般
2017/5/8,TXO,201707,9900,賣權,274,276,268,268,13,268,210,145,272,440,232,,一般
2017/5/8,TXO,201707,10000,買權,64,73,60,60,750,68,1441,66,67,82,25.5,,一般
2017/5/8,TXO,201707,10000,賣權,-,-,-,-,0,338,118,-,-,-,-,,一般
2017/5/8,TXO,201707,10200,買權,26,31.5,25,25,1144,29,5006,29,29.5,35.5,10.5,,一般
2017/5/8,TXO,201707,10200,賣權,-,-,-,-,0,500,13,-,-,-,-,,一般
2017/5/8,TXO,201707,10400,買權,12.5,13,10.5,10.5,359,12,3129,11.5,12.5,15,4.7,,一般
2017/5/8,TXO,201707,10400,賣權,-,-,-,-,0,680,0,-,-,-,-,,一般
2017/5/8,TXO,201707,10600,買權,4.9,5.7,4.8,4.8,13,6.4,789,6.2,6.5,6.3,2.8,,一般
